Date	TYPE			PIN
1/15/2024 18:04:24	In			BigTurtle
1/15/2024 18:13:34	In			Eagle
1/15/2024 18:55:55	Out			JeffBagels
1/15/2024 19:29:04	Out			phoenix
1/15/2024 19:59:52	Out			1116
1/15/2024 20:00:06	Out			0120
1/15/2024 20:00:23	Out			Auditore
1/15/2024 20:00:27	Out			S0134
1/15/2024 20:00:27	Out			s4dr4
1/15/2024 20:00:43	Out			10Pulisic
1/15/2024 20:01:00	Out			J.T.M.
1/15/2024 20:01:07	Out			Eagle
1/15/2024 20:01:20	Out			C8H10N4O2
1/15/2024 20:05:28	Out			2314033333
1/15/2024 20:07:03	Out			BigTurtle
1/15/2024 20:07:08	Out			AdidaBoss
1/15/2024 20:08:50	Out			Fire3xit
1/15/2024 20:19:01	Out			Ghost
1/15/2024 20:33:23	Out			Eagle
1/17/2024 17:26:57	In			Ghost
1/17/2024 17:38:15	In			Auditore
1/17/2024 17:49:50	In			Cade55
1/17/2024 17:52:08	In			10Pulisic
1/17/2024 17:58:52	In			phoenix
1/17/2024 18:00:46	In			AdidaBoss
1/17/2024 18:03:32	In			1116
1/17/2024 18:05:56	In			J.T.M.
1/17/2024 18:06:39	In			0120
1/17/2024 18:06:42	In			s4dr4
1/17/2024 18:08:35	In			BigTurtle
1/17/2024 18:18:26	In			2314033333
1/17/2024 19:56:55	Out			Cade55
1/17/2024 20:12:30	Out			BigTurtle
1/17/2024 20:12:57	Out			1116
1/17/2024 20:13:21	Out			10Pulisic
1/17/2024 20:15:52	Out			0120
1/17/2024 20:15:52	Out			s4dr4
1/17/2024 20:15:58	Out			AdidaBoss
1/17/2024 20:16:44	Out			J.T.M.
1/17/2024 20:17:41	Out			Auditore
1/17/2024 20:19:28	Out			Ghost
1/18/2024 17:48:57	In			Ghost
1/18/2024 17:54:37	In			10Pulisic
1/18/2024 17:54:38	In			Fire3xit
1/18/2024 17:55:09	In			Acrux
1/18/2024 17:58:05	In			Auditore
1/18/2024 17:58:15	In			0120
1/18/2024 18:05:17	In			AdidaBoss
1/18/2024 18:05:20	In			1116
1/18/2024 18:10:13	In			Eagle
1/18/2024 18:10:56	In			Eagle
1/18/2024 18:36:34	In			S0134
1/18/2024 18:36:38	In			s4dr4
1/18/2024 18:54:07	Out			Eagle
1/18/2024 18:54:22	Out			Eagle
1/18/2024 19:59:59	Out			1116
1/18/2024 19:59:59	Out			10Pulisic
1/18/2024 20:00:09	Out			Acrux
1/18/2024 20:00:26	Out			Auditore
1/18/2024 20:00:26	Out			S0134
1/18/2024 20:00:39	Out			0120
1/18/2024 20:00:54	Out			Fire3xit
1/18/2024 20:03:01	Out			AdidaBoss
1/18/2024 20:04:14	Out			s4dr4
1/18/2024 20:05:30	Out			J.T.M.
1/18/2024 20:23:40	Out			Ghost
1/20/2024 9:03:34	In			Fire3xit
1/20/2024 9:05:32	In			phoenix
1/20/2024 9:13:19	In			2314033333
1/20/2024 9:35:16	In			Cade55
1/20/2024 9:37:43	In			10Pulisic
1/20/2024 9:45:50	In			1116
1/20/2024 9:51:23	In			Eagle
1/20/2024 9:56:13	In			C8H10N4O2
1/20/2024 10:55:50	In			Acrux
1/20/2024 11:14:51	In			0305009
1/20/2024 11:33:02	In			J.T.M.
1/20/2024 11:35:21	In			s4dr4
1/20/2024 11:38:42	Out			Eagle
1/20/2024 11:39:11	Out			Eagle
1/20/2024 12:19:36	In			AdidaBoss
1/20/2024 9:29:58	In			Auditore
1/20/2024 13:26:36	In			JeffBagels
1/20/2024 13:26:42	In			0016
1/20/2024 13:37:53	In			0120
1/20/2024 14:11:35	Out			Cade55
1/20/2024 14:21:59	Out			AdidaBoss
1/20/2024 14:30:58	Out			Acrux
1/20/2024 16:01:58	Out			s4dr4
1/20/2024 16:06:22	Out			JeffBagels
1/20/2024 16:21:25	In			Ghost
1/20/2024 17:21:08	Out			Auditore
1/20/2024 17:55:21	Out			C8H10N4O2
1/20/2024 17:57:38	Out			2314033333
1/20/2024 18:00:08	Out			1116
1/20/2024 18:00:10	Out			Fire3xit
1/20/2024 18:00:17	Out			0305009
1/20/2024 18:00:17	Out			0120
1/20/2024 18:00:55	Out			10Pulisic
1/20/2024 18:02:17	Out			phoenix
1/20/2024 18:02:26	Out			J.T.M.
1/20/2024 18:03:22	Out			Ghost
1/20/2024 18:09:48	Out			0016
1/22/2024 17:27:58	In			Ghost
1/22/2024 17:33:06	In			JeffBagels
1/22/2024 17:51:47	In			Acrux
1/22/2024 17:52:46	In			Fire3xit
1/22/2024 17:56:21	In			phoenix
1/22/2024 17:57:57	In			Cade55
1/22/2024 17:58:03	In			C8H10N4O2
1/22/2024 17:58:49	In			Eagle
1/22/2024 18:02:57	In			1116
1/22/2024 18:03:12	In			Auditore
1/22/2024 18:04:22	In			AdidaBoss
1/22/2024 18:04:59	In			BigTurtle
1/22/2024 18:05:08	In			0016
1/22/2024 18:11:16	In			s4dr4
1/22/2024 18:15:39	In			S0134
1/22/2024 18:19:19	In			fonderpole
1/22/2024 18:27:47	In			2314033333
1/22/2024 18:28:19	In			J.T.M.
1/22/2024 18:30:39	In			10Pulisic
1/22/2024 19:59:59	Out			Cade55
